Date : 2023-12-07 04:09:56
Directory : d:\programming\uniProject\uniProject
Total : 165 files,  29992 codes, 1363 comments, 2697 blanks, all 34052 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |          9 |     11,483 |         56 |        511 |     12,050 |
| JSON       |          4 |     10,171 |          0 |          4 |     10,175 |
| PHP        |        128 |      5,423 |      1,204 |      1,160 |      7,787 |
| JavaScript |         16 |      2,324 |         85 |        941 |      3,350 |
| SCSS       |          2 |        257 |         10 |         29 |        296 |
| Less       |          2 |        239 |          6 |         25 |        270 |
| Markdown   |          1 |         45 |          0 |         22 |         67 |
| XML        |          2 |         42 |          2 |          3 |         47 |
| Ruby       |          1 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |        165 |     29,992 |      1,363 |      2,697 |     34,052 |
| . (Files)                                                                                                          |          9 |     10,280 |          4 |         34 |     10,318 |
| app                                                                                                                |         41 |        864 |        261 |        259 |      1,384 |
| app\Console                                                                                                        |          1 |         15 |          7 |          6 |         28 |
| app\Exceptions                                                                                                     |          1 |         17 |          9 |          5 |         31 |
| app\Http                                                                                                           |         28 |        676 |        179 |        191 |      1,046 |
| app\Http (Files)                                                                                                   |          1 |         42 |         21 |          7 |         70 |
| app\Http\Controllers                                                                                               |         15 |        456 |         70 |        123 |        649 |
| app\Http\Controllers (Files)                                                                                       |          6 |        222 |         10 |         59 |        291 |
| app\Http\Controllers\Auth                                                                                          |          9 |        234 |         60 |         64 |        358 |
| app\Http\Middleware                                                                                                |         10 |        112 |         62 |         43 |        217 |
| app\Http\Requests                                                                                                  |          2 |         66 |         26 |         18 |        110 |
| app\Http\Requests (Files)                                                                                          |          1 |         15 |          5 |          4 |         24 |
| app\Http\Requests\Auth                                                                                             |          1 |         51 |         21 |         14 |         86 |
| app\Models                                                                                                         |          4 |         54 |         16 |         21 |         91 |
| app\Providers                                                                                                      |          5 |         80 |         44 |         28 |        152 |
| app\View                                                                                                           |          2 |         22 |          6 |          8 |         36 |
| app\View\Components                                                                                                |          2 |         22 |          6 |          8 |         36 |
| bootstrap                                                                                                          |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                             |         15 |        532 |        763 |        240 |      1,535 |
| database                                                                                                           |         13 |        286 |         68 |         58 |        412 |
| database\factories                                                                                                 |          1 |         25 |         11 |          6 |         42 |
| database\migrations                                                                                                |          8 |        172 |         48 |         33 |        253 |
| database\seeders                                                                                                   |          4 |         89 |          9 |         19 |        117 |
| public                                                                                                             |         24 |     14,286 |        160 |      1,502 |     15,948 |
| public (Files)                                                                                                     |          1 |         14 |         30 |         12 |         56 |
| public\assets                                                                                                      |         23 |     14,272 |        130 |      1,490 |     15,892 |
| public\assets\css                                                                                                  |          4 |     11,200 |         41 |        459 |     11,700 |
| public\assets\js                                                                                                   |          7 |        155 |         13 |         75 |        243 |
| public\assets\plugins                                                                                              |         12 |      2,917 |         76 |        956 |      3,949 |
| public\assets\plugins\perfect-scrollbar                                                                            |          2 |          2 |          0 |          0 |          2 |
| public\assets\plugins\perfect-scrollbar\css                                                                        |          1 |          1 |          0 |          0 |          1 |
| public\assets\plugins\perfect-scrollbar\js                                                                         |          1 |          1 |          0 |          0 |          1 |
| public\assets\plugins\slick                                                                                        |         10 |      2,915 |         76 |        956 |      3,947 |
| public\assets\plugins\slick (Files)                                                                                |          9 |      2,902 |         76 |        954 |      3,932 |
| public\assets\plugins\slick\fonts                                                                                  |          1 |         13 |          0 |          2 |         15 |
| resources                                                                                                          |         44 |      3,268 |         25 |        421 |      3,714 |
| resources (Files)                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| resources\css                                                                                                      |          1 |          3 |          0 |          1 |          4 |
| resources\js                                                                                                       |          2 |          7 |         23 |         11 |         41 |
| resources\views                                                                                                    |         40 |      3,258 |          2 |        408 |      3,668 |
| resources\views (Files)                                                                                            |          6 |      2,406 |          0 |        236 |      2,642 |
| resources\views\admin                                                                                              |          5 |        112 |          0 |         25 |        137 |
| resources\views\admin (Files)                                                                                      |          1 |          0 |          0 |          1 |          1 |
| resources\views\admin\products                                                                                     |          4 |        112 |          0 |         24 |        136 |
| resources\views\auth                                                                                               |          6 |        182 |          0 |         45 |        227 |
| resources\views\cart                                                                                               |          1 |         30 |          0 |          5 |         35 |
| resources\views\components                                                                                         |         13 |        162 |          2 |         28 |        192 |
| resources\views\contacts                                                                                           |          1 |         27 |          0 |          8 |         35 |
| resources\views\layouts                                                                                            |          3 |        149 |          0 |         24 |        173 |
| resources\views\products                                                                                           |          1 |         24 |          0 |          3 |         27 |
| resources\views\profile                                                                                            |          4 |        166 |          0 |         34 |        200 |
| resources\views\profile (Files)                                                                                    |          1 |         26 |          0 |          4 |         30 |
| resources\views\profile\partials                                                                                   |          3 |        140 |          0 |         30 |        170 |
| routes                                                                                                             |          5 |         96 |         40 |         45 |        181 |
| tests                                                                                                              |         11 |        356 |         10 |        128 |        494 |
| tests (Files)                                                                                                      |          2 |         20 |          3 |         10 |         33 |
| tests\Feature                                                                                                      |          8 |        326 |          4 |        114 |        444 |
| tests\Feature (Files)                                                                                              |          2 |         87 |          4 |         29 |        120 |
| tests\Feature\Auth                                                                                                 |          6 |        239 |          0 |         85 |        324 |
| tests\Unit                                                                                                         |          1 |         10 |          3 |          4 |         17 |
| vendor                                                                                                             |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie                                                                                                      |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                                             |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                                                   |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                                          |          2 |          7 |          2 |          1 |         10 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                           | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\programming\uniProject\uniProject\README.md                                                                     | Markdown   |         45 |          0 |         22 |         67 |
| d:\programming\uniProject\uniProject\app\Console\Kernel.php                                                        | PHP        |         15 |          7 |          6 |         28 |
| d:\programming\uniProject\uniProject\app\Exceptions\Handler.php                                                    | PHP        |         17 |          9 |          5 |         31 |
| d:\programming\uniProject\uniProject\app\Http\Controllers\AdminProductController.php                               | PHP        |         60 |          0 |         16 |         76 |
